no,name,typesetting,kunnrei,font,color,created,kana
5227,実に喜ばしい,実に喜ばしい,zituniyorokobasii,,0,5.0.0,じつによろこばしい
5228,自由のにおい,自由のにおい,ziyuunonioi,,1,5.0.0,じゆうのにおい
5229,自由の音,自由の音,ziyuunooto,,2,5.0.0,じゆうのおと
5230,事前確認,事前確認,zizennkakuninn,,3,5.0.0,じぜんかくにん
5231,慈善活動,慈善活動,zizennkatudou,,4,5.0.0,じぜんかつどう
5232,事前調査,事前調査,zizenntyousa,,0,5.0.0,じぜんちょうさ
5233,時事ネタ,時事ネタ,zizineta,,5,5.0.0,じじねた
5234,事実優先,事実優先,zizituyuusenn,,6,5.0.0,じじつゆうせん
5235,ゾンビサバイバル,ゾンビサバイバル,zonnbisabaibaru,,7,5.0.0,ぞんびさばいばる
5236,ズームアップ,ズームアップ,zu-muappu,,8,5.0.0,ずーむあっぷ
5237,ズームアウト,ズームアウト,zu-muauto,,9,5.0.0,ずーむあうと
5238,ズームダウン,ズームダウン,zu-mudaunn,,10,5.0.0,ずーむだうん
5239,ズームイン,ズームイン,zu-muinn,,11,5.0.0,ずーむいん
5240,ズームやめろ,ズームやめろ,zu-muyamero,,0,5.0.0,ずーむやめろ
5241,ズームズーム,ズームズーム,zu-muzu-mu,,1,5.0.0,ずーむずーむ
5242,ずぶぬれ,ずぶぬれ,zubunure,,2,5.0.0,ずぶぬれ
